         time Record_Dis... 
 2.663365e-01 -2.415674e-03 
 2.667403e-01 -2.419705e-03 
 2.671442e-01 -2.423695e-03 
 2.675480e-01 -2.427629e-03 
 2.679519e-01 -2.431491e-03 
 2.683557e-01 -2.435265e-03 
 2.687596e-01 -2.438937e-03 
 2.691634e-01 -2.442495e-03 
 2.695673e-01 -2.445927e-03 
 2.699711e-01 -2.449224e-03 
 2.703750e-01 -2.452376e-03 
 2.707788e-01 -2.455376e-03 
 2.711826e-01 -2.458218e-03 
 2.715865e-01 -2.460897e-03 
 2.719903e-01 -2.463411e-03 
 2.723942e-01 -2.465761e-03 
 2.727980e-01 -2.467948e-03 
 2.732019e-01 -2.469977e-03 
 2.736057e-01 -2.471855e-03 
 2.740096e-01 -2.473590e-03 
 2.744134e-01 -2.475191e-03 
 2.748173e-01 -2.476670e-03 
 2.752211e-01 -2.478037e-03 
 2.756250e-01 -2.479306e-03 
 2.760288e-01 -2.480487e-03 
 2.764326e-01 -2.481594e-03 
 2.768365e-01 -2.482640e-03 
 2.772403e-01 -2.483635e-03 
 2.776442e-01 -2.484593e-03 
 2.780480e-01 -2.485523e-03 
 2.784519e-01 -2.486435e-03 
 2.788557e-01 -2.487337e-03 
 2.792596e-01 -2.488236e-03 
 2.796634e-01 -2.489133e-03 
 2.800673e-01 -2.490030e-03 
 2.804711e-01 -2.490926e-03 
 2.808750e-01 -2.491818e-03 
 2.812788e-01 -2.492699e-03 
 2.816826e-01 -2.493563e-03 
 2.820865e-01 -2.494398e-03 
 2.824903e-01 -2.495196e-03 
 2.828942e-01 -2.495942e-03 
 2.832980e-01 -2.496622e-03 
 2.837019e-01 -2.497221e-03 
 2.841057e-01 -2.497721e-03 
 2.845096e-01 -2.498104e-03 
 2.849134e-01 -2.498352e-03 
 2.853173e-01 -2.498447e-03 
 2.857211e-01 -2.498372e-03 
 2.861250e-01 -2.498111e-03 
 2.865288e-01 -2.497651e-03 
 2.869326e-01 -2.496981e-03 
 2.873365e-01 -2.496092e-03 
 2.877403e-01 -2.494978e-03 
 2.881442e-01 -2.493637e-03 
 2.885480e-01 -2.492068e-03 
 2.889519e-01 -2.490274e-03 
 2.893557e-01 -2.488261e-03 
 2.897596e-01 -2.486039e-03 
 2.901634e-01 -2.483619e-03 
 2.905673e-01 -2.481016e-03 
 2.909711e-01 -2.478248e-03 
 2.913750e-01 -2.475334e-03 
 2.917788e-01 -2.472296e-03 
 2.921826e-01 -2.469158e-03 
 2.925865e-01 -2.465942e-03 
 2.929903e-01 -2.462674e-03 
 2.933942e-01 -2.459376e-03 
 2.937980e-01 -2.456072e-03 
 2.942019e-01 -2.452784e-03 
 2.946057e-01 -2.449530e-03 
 2.950096e-01 -2.446328e-03 
 2.954134e-01 -2.443195e-03 
